symbol,name,sector,hq,tier,fetched_at
MMM,3M,Industrials,"Saint Paul, Minnesota",sp500,2026-04-20T01:14:00+00:00
AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",sp500,2026-04-20T01:14:00+00:00
ABT,Abbott Laboratories,Health Care,"North Chicago, Illinois",sp500,2026-04-20T01:14:00+00:00
ABBV,AbbVie,Health Care,"North Chicago, Illinois",sp500,2026-04-20T01:14:00+00:00
ACN,Accenture,Information Technology,"Dublin, Ireland",sp500,2026-04-20T01:14:00+00:00
ADBE,Adobe Inc.,Information Technology,"San Jose, California",sp500,2026-04-20T01:14:00+00:00
AMD,Advanced Micro Devices,Information Technology,"Santa Clara, California",sp500,2026-04-20T01:14:00+00:00
AES,AES Corporation,Utilities,"Arlington, Virginia",sp500,2026-04-20T01:14:00+00:00
AFL,Aflac,Financials,"Columbus, Georgia",sp500,2026-04-20T01:14:00+00:00
A,Agilent Technologies,Health Care,"Santa Clara, California",sp500,2026-04-20T01:14:00+00:00
APD,Air Products,Materials,"Upper Macungie Township, Pennsylvania",sp500,2026-04-20T01:14:00+00:00
ABNB,Airbnb,Consumer Discretionary,"San Francisco, California",sp500,2026-04-20T01:14:00+00:00
AKAM,Akamai Technologies,Information Technology,"Cambridge, Massachusetts",sp500,2026-04-20T01:14:00+00:00
ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",sp500,2026-04-20T01:14:00+00:00
ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",sp500,2026-04-20T01:14:00+00:00
ALGN,Align Technology,Health Care,"Tempe, Arizona",sp500,2026-04-20T01:14:00+00:00
ALLE,Allegion,Industrials,"Dublin, Ireland",sp500,2026-04-20T01:14:00+00:00
LNT,Alliant Energy,Utilities,"Madison, Wisconsin",sp500,2026-04-20T01:14:00+00:00
ALL,Allstate,Financials,"Northbrook, Illinois",sp500,2026-04-20T01:14:00+00:00
GOOGL,Alphabet Inc. (Class A),Communication Services,"Mountain View, California",sp500,2026-04-20T01:14:00+00:00
GOOG,Alphabet Inc. (Class C),Communication Services,"Mountain View, California",sp500,2026-04-20T01:14:00+00:00
MO,Altria,Consumer Staples,"Richmond, Virginia",sp500,2026-04-20T01:14:00+00:00
AMZN,Amazon,Consumer Discretionary,"Seattle, Washington",sp500,2026-04-20T01:14:00+00:00
AMCR,Amcor,Materials,"Warmley, Bristol, United Kingdom",sp500,2026-04-20T01:14:00+00:00
AEE,Ameren,Utilities,"St. Louis, Missouri",sp500,2026-04-20T01:14:00+00:00
AEP,American Electric Power,Utilities,"Columbus, Ohio",sp500,2026-04-20T01:14:00+00:00
AXP,American Express,Financials,"New York City, New York",sp500,2026-04-20T01:14:00+00:00
AIG,American International Group,Financials,"New York City, New York",sp500,2026-04-20T01:14:00+00:00
AMT,American Tower,Real Estate,"Boston, Massachusetts",sp500,2026-04-20T01:14:00+00:00
AWK,American Water Works,Utilities,"Camden, New Jersey",sp500,2026-04-20T01:14:00+00:00
AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",sp500,2026-04-20T01:14:00+00:00
AME,Ametek,Industrials,"Berwyn, Pennsylvania",sp500,2026-04-20T01:14:00+00:00
AMGN,Amgen,Health Care,"Thousand Oaks, California",sp500,2026-04-20T01:14:00+00:00
APH,Amphenol,Information Technology,"Wallingford, Connecticut",sp500,2026-04-20T01:14:00+00:00
ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",sp500,2026-04-20T01:14:00+00:00
AON,Aon plc,Financials,"London, United Kingdom",sp500,2026-04-20T01:14:00+00:00
APA,APA Corporation,Energy,"Houston, Texas",sp500,2026-04-20T01:14:00+00:00
APO,Apollo Global Management,Financials,"New York City, New York",sp500,2026-04-20T01:14:00+00:00
AAPL,Apple Inc.,Information Technology,"Cupertino, California",sp500,2026-04-20T01:14:00+00:00
AMAT,Applied Materials,Information Technology,"Santa Clara, California",sp500,2026-04-20T01:14:00+00:00
APP,AppLovin,Information Technology,"Palo Alto, California",sp500,2026-04-20T01:14:00+00:00
APTV,Aptiv,Consumer Discretionary,"Schaffhausen, Switzerland",sp500,2026-04-20T01:14:00+00:00
ACGL,Arch Capital Group,Financials,"Hamilton, Bermuda",sp500,2026-04-20T01:14:00+00:00
ADM,Archer Daniels Midland,Consumer Staples,"Chicago, Illinois",sp500,2026-04-20T01:14:00+00:00
ARES,Ares Management,Financials,"Los Angeles, California",sp500,2026-04-20T01:14:00+00:00
ANET,Arista Networks,Information Technology,"Santa Clara, California",sp500,2026-04-20T01:14:00+00:00
AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",sp500,2026-04-20T01:14:00+00:00
AIZ,Assurant,Financials,"Atlanta, Georgia",sp500,2026-04-20T01:14:00+00:00
T,AT&T,Communication Services,"Dallas, Texas",sp500,2026-04-20T01:14:00+00:00
ATO,Atmos Energy,Utilities,"Dallas, Texas",sp500,2026-04-20T01:14:00+00:00
ADSK,Autodesk,Information Technology,"San Francisco, California",sp500,2026-04-20T01:14:00+00:00
ADP,Automatic Data Processing,Industrials,"Roseland, New Jersey",sp500,2026-04-20T01:14:00+00:00
AZO,AutoZone,Consumer Discretionary,"Memphis, Tennessee",sp500,2026-04-20T01:14:00+00:00
AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",sp500,2026-04-20T01:14:00+00:00
AVY,Avery Dennison,Materials,"Mentor, Ohio",sp500,2026-04-20T01:14:00+00:00
AXON,Axon Enterprise,Industrials,"Scottsdale, Arizona",sp500,2026-04-20T01:14:00+00:00
BKR,Baker Hughes,Energy,"Houston, Texas",sp500,2026-04-20T01:14:00+00:00
BALL,Ball Corporation,Materials,"Broomfield, Colorado",sp500,2026-04-20T01:14:00+00:00
BAC,Bank of America,Financials,"Charlotte, North Carolina",sp500,2026-04-20T01:14:00+00:00
BAX,Baxter International,Health Care,"Deerfield, Illinois",sp500,2026-04-20T01:14:00+00:00
BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",sp500,2026-04-20T01:14:00+00:00
BRK.B,Berkshire Hathaway,Financials,"Omaha, Nebraska",sp500,2026-04-20T01:14:00+00:00
BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",sp500,2026-04-20T01:14:00+00:00
TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",sp500,2026-04-20T01:14:00+00:00
BIIB,Biogen,Health Care,"Cambridge, Massachusetts",sp500,2026-04-20T01:14:00+00:00
BLK,BlackRock,Financials,"New York City, New York",sp500,2026-04-20T01:14:00+00:00
BX,Blackstone Inc.,Financials,"New York City, New York",sp500,2026-04-20T01:14:00+00:00
XYZ,"Block, Inc.",Financials,none,sp500,2026-04-20T01:14:00+00:00
BK,BNY Mellon,Financials,"New York City, New York",sp500,2026-04-20T01:14:00+00:00
BA,Boeing,Industrials,"Arlington, Virginia",sp500,2026-04-20T01:14:00+00:00
BKNG,Booking Holdings,Consumer Discretionary,"Norwalk, Connecticut",sp500,2026-04-20T01:14:00+00:00
BSX,Boston Scientific,Health Care,"Marlborough, Massachusetts",sp500,2026-04-20T01:14:00+00:00
BMY,Bristol Myers Squibb,Health Care,"New York City, New York",sp500,2026-04-20T01:14:00+00:00
AVGO,Broadcom,Information Technology,"Palo Alto, California",sp500,2026-04-20T01:14:00+00:00
BR,Broadridge Financial Solutions,Industrials,"Lake Success, New York",sp500,2026-04-20T01:14:00+00:00
BRO,Brown & Brown,Financials,"Daytona Beach, Florida",sp500,2026-04-20T01:14:00+00:00
BF.B,Brown–Forman,Consumer Staples,"Louisville, Kentucky",sp500,2026-04-20T01:14:00+00:00
BLDR,Builders FirstSource,Industrials,"Irving, Texas",sp500,2026-04-20T01:14:00+00:00
BG,Bunge Global,Consumer Staples,"Chesterfield, Missouri",sp500,2026-04-20T01:14:00+00:00
BXP,"BXP, Inc.",Real Estate,"Boston, Massachusetts",sp500,2026-04-20T01:14:00+00:00
CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",sp500,2026-04-20T01:14:00+00:00
CDNS,Cadence Design Systems,Information Technology,"San Jose, California",sp500,2026-04-20T01:14:00+00:00
CPT,Camden Property Trust,Real Estate,"Houston, Texas",sp500,2026-04-20T01:14:00+00:00
CPB,Campbell's Company (The),Consumer Staples,"Camden, New Jersey",sp500,2026-04-20T01:14:00+00:00
COF,Capital One,Financials,"Tysons Corner, Virginia",sp500,2026-04-20T01:14:00+00:00
CAH,Cardinal Health,Health Care,"Dublin, Ohio",sp500,2026-04-20T01:14:00+00:00
